 Judete,Cod Judete,2017,2018,2019,2020
 Alba,AB,6163,5657,5218,6350
 Arad,AR,3245,2901,2610,4572
 Arges,AG,10322,8357,7749,9840
 Bacau,BC,14032,12638,11023,11505
 Bihor,BH,6497,4074,3690,5965
 Bistrita-Nasaud,BN,4043,3996,3329,4375
 Botosani,BT,4919,4206,3571,4007
 Brasov,BV,7353,5729,5233,6714
 Braila,BR,6294,4903,4334,5263
 Buzau,BZ,15001,12474,11296,13468
 Caras-Severin,CS,3961,3537,3345,3607
 Calarasi,CL,4487,3799,3242,3890
 Cluj,CJ,7460,4720,4483,6108
 Constanta,CT,9099,8001,7471,8732
 Covasna,CV,3612,3104,2852,4348
 Dambovita,DB,10188,8023,6624,6182
 Dolj,DJ,23331,19728,17945,18872
 Galati,GL,15245,11979,10578,12190
 Giurgiu,GR,2668,1863,1645,2098
 Gorj,GJ,8600,5914,4735,5212
 Harghita,HR,6542,5705,5146,6162
 Hunedoara,HD,7898,5830,5157,5736
 Ialomita,IL,6476,5268,4231,4581
 Iasi,IS,11960,8982,8035,9356
 Ilfov,IF,1207,1299,776,1441
 Maramures,MM,6186,6418,5185,4697
 Mehedinti,MH,9777,7996,6929,6503
 Mures,MS,9314,7126,6372,6423
 Neamt,NT,9039,8267,7346,9034
 Olt,OT,12027,10138,8855,9441
 Prahova,PH,8991,7727,7118,8571
 Satu Mare,SM,4727,3842,3631,5458
 Salaj,SJ,4821,4602,4339,5419
 Sibiu,SB,4770,3539,3456,5496
 Suceava,SV,12379,11867,11031,11804
 Teleorman,TR,14893,11201,8825,9151
 Timis,TM,3540,2742,2775,4446
 Tulcea,TL,3951,3048,2906,2520
 Vaslui,VS,14239,11570,10024,9770
 Valcea,VL,6670,4892,4560,5795
 Vrancea,VN,6903,5524,4947,5698
 Municipiul Bucuresti,B,18275,15710,15248,15251
